Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

Which country won the FIFA World Cup in 2018?,Brazil,Germany,France,Argentina,France
In which sport would you perform a slam dunk?,Tennis,Basketball,Soccer,Golf,Basketball
Who holds the record for the most Olympic gold medals in history?,Usain Bolt,Michael Phelps,Simone Biles,Jesse Owens,Michael Phelps
Which NFL team has won the most Super Bowl championships (as of the last knowledge update in 2022)?,Dallas Cowboys,New England Patriots,Pittsburgh Steelers,San Francisco 49ers,New England Patriots
In golf, what is the term for completing a hole in one stroke under par?,Eagle,Birdie,Bogey,Albatross,Birdie
Which country hosted the Summer Olympics in 2016?,United States,China,Russia,Brazil,Brazil
Who is often referred to as "The King" in professional golf?,Phil Mickelson,Tiger Woods,Arnold Palmer,Jack Nicklaus,Jack Nicklaus
In which year did the first modern Olympic Games take place?,1886,1904,1896,1920,1896
Which tennis player holds the record for the most Grand Slam singles titles (as of the last knowledge update in 2022)?,Rafael Nadal,Roger Federer,Serena Williams,Novak Djokovic,Serena Williams
What is the nickname of the New York Yankees' baseball stadium?,Fenway Park,Dodger Stadium,Yankee Stadium,Wrigley Field,Yankee Stadium
