Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

What is the largest mammal in the world?,Elephant,Giraffe,Blue Whale,Gorilla,Blue Whale
Which famous scientist is best known for his theory of evolution by natural selection?,Isaac Newton,Charles Darwin,Albert Einstein,Marie Curie,Charles Darwin
What is the capital city of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
In which year did the Berlin Wall fall leading to the reunification of East and West Germany?,1989,1991,1985,1995,1989
"Which planet is known as the ""Morning Star"" or the ""Evening Star"" and is often the brightest object in the night sky?",Mars,Venus,Jupiter,Saturn,Venus
"Who wrote the famous play ""Hamlet""?",Jane Austen,William Shakespeare,Fyodor Dostoevsky,George Orwell,William Shakespeare
What is the chemical symbol for the element gold?,Ag,Fe,Au,Cu,Au
Which mountain is the highest in the world?,Mount Kilimanjaro,Mount Everest,Mount McKinley,Mount Fuji,Mount Everest
"Who painted the famous artwork ""Starry Night""?",Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh
What is the capital city of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,Brasilia
