Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

Who played the lead role of Tony Stark in the Marvel Cinematic Universe's "Iron Man" series?,Chris Hemsworth,Chris Evans,Robert Downey Jr.,Mark Ruffalo,Robert Downey Jr.
Which animated film features a character named Simba and includes the song "Circle of Life"?,Toy Story,The Lion King,Shrek,Frozen,The Lion King
In the Harry Potter film series, what is the name of the school where Harry learns magic?,Beauxbatons Academy of Magic,Durmstrang Institute,Hogwarts School of Witchcraft and Wizardry,Ilvermorny School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry
Which actor is best known for portraying James Bond in seven films from 1973 to 1985?,Sean Connery,Pierce Brosnan,Roger Moore,Daniel Craig,Roger Moore
What is the highest-grossing film of all time (as of the last knowledge update in 2022)?,Avengers: Endgame,Avatar,Titanic,Star Wars: The Force Awakens,Avatar
Which fictional wizarding author wrote the book "Fantastic Beasts and Where to Find Them" in the Harry Potter series?,Newt Scamander,Albus Dumbledore,Gellert Grindelwald,Rubeus Hagrid,Newt Scamander
Who is the creator of the animated TV series "The Simpsons"?,Seth MacFarlane,Matt Groening,David Silverman,Al Jean,Matt Groening
Which pop artist is known for hits like "Shape of You" and "Thinking Out Loud"?,Justin Bieber,Bruno Mars,Ed Sheeran,Taylor Swift,Ed Sheeran
In the classic film "Casablanca," what is the name of the nightclub owned by Rick Blaine?,Blue Parrot Cafe,Rick's Place,Casablanca Lounge,Café Americain,Rick's Place
