Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

What is the chemical symbol for the element gold?,Ag,Fe,Au,Cu,Au
Which planet is known as the "Red Planet"?,Venus,Jupiter,Mars,Saturn,Mars
What is the process by which plants make their own food using sunlight?,Respiration,Photosynthesis,Transpiration,Diffusion,Photosynthesis
Which particle is negatively charged and orbits the nucleus of an atom?,Proton,Neutron,Electron,Photon,Electron
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum,Mitochondria
What is the speed of light in a vacuum?,299,792 kilometers per second,150,000 kilometers per second,450,000 kilometers per second,299,792 kilometers per second
Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,Nitrogen
What is the process by which water vapor turns into liquid water?,Evaporation,Condensation,Sublimation,Melting,Condensation
What is the largest organ in the human body?,Heart,Liver,Skin,Kidney,Skin
What is the name of the closest star to Earth?,Alpha Centauri,Proxima Centauri,Sirius,The Sun,The Sun
