Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

What is the fear of long words called?,Hippopotomonstrosesquippedaliophobia,Sesquipedalophobia,Antidisestablishmentarianism,Pneumonoultramicroscopicsilicovolcanoconiosis,Hippopotomonstrosesquippedaliophobia
Which mammal is capable of flying but is not a bird?,Flying Squirrel,Flying Fish,Flying Fox,Flying Lemur,Flying Squirrel
What is the fear of peanut butter sticking to the roof of the mouth called?,Arachibutyrophobia,Acrophobia,Hydrophobia,Cynophobia,Arachibutyrophobia
Which country has a square-shaped flag?,Switzerland,Nepal,Bhutan,Liechtenstein,Switzerland
What is the only planet in our solar system that rotates clockwise?,Mercury,Venus,Mars,Uranus,Uranus
Which animal's group is called a murder?,Crows,Butterflies,Lions,Whales,Crows
What is the only letter that doesn't appear in the name of any U.S. state?,X,W,Q,Z,Q
Which element has the chemical symbol "K"?,Krypton,Kelvin,Potassium,Kryptonite,Potassium
What is the world's rarest blood type?,AB negative,O positive,B positive,O negative,AB negative
Which planet is nicknamed the "Ice Giant"?,Uranus,Neptune,Saturn,Jupiter,Neptune
