Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

What is the largest mammal in the world?,Elephant,Giraffe,Blue Whale,Gorilla,Blue Whale
Which famous scientist is best known for his theory of evolution by natural selection?,Isaac Newton,Charles Darwin,Albert Einstein,Marie Curie,Charles Darwin
What is the capital city of Japan?,Beijing,Seoul,Tokyo,Bangkok,Tokyo
In which year did the Berlin Wall fall leading to the reunification of East and West Germany?,1989,1991,1985,1995,1989
"Which planet is known as the ""Morning Star"" or the ""Evening Star"" and is often the brightest object in the night sky?",Mars,Venus,Jupiter,Saturn,Venus
"Who wrote the famous play ""Hamlet""?",Jane Austen,William Shakespeare,Fyodor Dostoevsky,George Orwell,William Shakespeare
What is the chemical symbol for the element gold?,Ag,Fe,Au,Cu,Au
Which mountain is the highest in the world?,Mount Kilimanjaro,Mount Everest,Mount McKinley,Mount Fuji,Mount Everest
"Who painted the famous artwork ""Starry Night""?",Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh
What is the capital city of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,Brasilia

What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Lime,Avocado
Which country is famous for its pasta dishes such as spaghetti and lasagna?,France,Italy,Spain,Germany,Italy
What is the primary ingredient in traditional Japanese miso soup?,Tofu,Seaweed,Rice,Noodles,Tofu
Which fruit is known as the "king of fruits" and has a strong odor?,Banana,Durian,Mango,Apple,Durian
What is the main component of hummus?,Chickpeas,Lentils,Black beans,Kidney beans,Chickpeas
Which alcoholic beverage is made from fermented grapes?,Whiskey,Vodka,Beer,Wine,Wine
What is the national dish of Mexico that consists of meat, beans, and tortillas?,Enchiladas,Tacos,Burritos,Mole, Tacos
Which type of tea is fermented and often has a strong, earthy flavor?,Green tea,Black tea,Oolong tea,White tea,Black tea
What is the popular Italian dessert that consists of coffee-soaked ladyfingers and layered with mascarpone cheese?,Cannoli,Gelato,Tiramisu,Panna Cotta,Tiramisu
Which spice, often used in pumpkin pie, is a mixture of cinnamon, ginger, nutmeg, and cloves?,Allspice,Cayenne pepper,Cumin,Paprika,Allspice

Who played the lead role of Tony Stark in the Marvel Cinematic Universe's "Iron Man" series?,Chris Hemsworth,Chris Evans,Robert Downey Jr.,Mark Ruffalo,Robert Downey Jr.
Which animated film features a character named Simba and includes the song "Circle of Life"?,Toy Story,The Lion King,Shrek,Frozen,The Lion King
In the Harry Potter film series, what is the name of the school where Harry learns magic?,Beauxbatons Academy of Magic,Durmstrang Institute,Hogwarts School of Witchcraft and Wizardry,Ilvermorny School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry
Which actor is best known for portraying James Bond in seven films from 1973 to 1985?,Sean Connery,Pierce Brosnan,Roger Moore,Daniel Craig,Roger Moore
What is the highest-grossing film of all time (as of the last knowledge update in 2022)?,Avengers: Endgame,Avatar,Titanic,Star Wars: The Force Awakens,Avatar
In the TV series "Friends," what is the name of Ross and Monica's sister?,Rachel,Phoebe,Janice,Jill,Phoebe
Which fictional wizarding author wrote the book "Fantastic Beasts and Where to Find Them" in the Harry Potter series?,Newt Scamander,Albus Dumbledore,Gellert Grindelwald,Rubeus Hagrid,Newt Scamander
Who is the creator of the animated TV series "The Simpsons"?,Seth MacFarlane,Matt Groening,David Silverman,Al Jean,Matt Groening
Which pop artist is known for hits like "Shape of You" and "Thinking Out Loud"?,Justin Bieber,Bruno Mars,Ed Sheeran,Taylor Swift,Ed Sheeran
In the classic film "Casablanca," what is the name of the nightclub owned by Rick Blaine?,Blue Parrot Cafe,Rick's Place,Casablanca Lounge,Café Americain,Rick's Place

Which country won the FIFA World Cup in 2018?,Brazil,Germany,France,Argentina,France
In which sport would you perform a slam dunk?,Tennis,Basketball,Soccer,Golf,Basketball
Who holds the record for the most Olympic gold medals in history?,Usain Bolt,Michael Phelps,Simone Biles,Jesse Owens,Michael Phelps
Which NFL team has won the most Super Bowl championships (as of the last knowledge update in 2022)?,Dallas Cowboys,New England Patriots,Pittsburgh Steelers,San Francisco 49ers,New England Patriots
In golf, what is the term for completing a hole in one stroke under par?,Eagle,Birdie,Bogey,Albatross,Birdie
Which country hosted the Summer Olympics in 2016?,United States,China,Russia,Brazil,Brazil
Who is often referred to as "The King" in professional golf?,Phil Mickelson,Tiger Woods,Arnold Palmer,Jack Nicklaus,Jack Nicklaus
In which year did the first modern Olympic Games take place?,1886,1904,1896,1920,1896
Which tennis player holds the record for the most Grand Slam singles titles (as of the last knowledge update in 2022)?,Rafael Nadal,Roger Federer,Serena Williams,Novak Djokovic,Serena Williams
What is the nickname of the New York Yankees' baseball stadium?,Fenway Park,Dodger Stadium,Yankee Stadium,Wrigley Field,Yankee Stadium

Which river is the longest in the world?,Amazon River,Mississippi River,Nile River,Yangtze River,Nile River
In which mountain range is Mount Everest located?,Andes Mountains,Rocky Mountains,Alps,Himalayas,Himalayas
Which African country is known as the "Rainbow Nation"?,Kenya,Nigeria,South Africa,Egypt,South Africa
What is the capital city of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Southern Ocean,Arctic Ocean,Pacific Ocean
In which European city would you find the Eiffel Tower?,Berlin,London,Paris,Rome,Paris
What is the largest desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Great Victoria Desert,Sahara Desert
Which country is known as the "Land of the Rising Sun"?,China,Japan,South Korea,Vietnam,Japan
What is the capital city of Canada?,Toronto,Montreal,Vancouver,Ottawa,Ottawa
Which river runs through the Grand Canyon?,Colorado River,Missouri River,Mississippi River,Yukon River,Colorado River

Which mammal is the largest on Earth?,African Elephant,Giraffe,Blue Whale,Gorilla,Blue Whale
What is the largest big cat species?,Lion,Tiger,Leopard,Jaguar,Tiger
Which bird is known for its ability to mimic human speech?,Penguin,Parrot,Crow,Ostrich,Parrot
Which animal is known as the "King of the Jungle"?,Giraffe,Lion,Elephant,Rhino,Lion
What is the only marsupial native to North America?,Kangaroo,Wallaby,Koala,Opossum,Opossum
Which species of turtle is known for its long neck?,Leatherback Turtle,Snapping Turtle,Box Turtle,Painted Turtle,Snapping Turtle
Which insect is known for its bioluminescent light at night?,Firefly,Dragonfly,Beetle,Butterfly,Firefly
What is the world's largest species of shark?,Great White Shark,Tiger Shark,Hammerhead Shark,Whale Shark,Whale Shark
Which animal is capable of regenerating lost body parts?,Starfish,Octopus,Lizard,Salmon,Starfish
Which big cat is known for its distinctive black coat with rosette patterns?,Cheetah,Jaguar,Leopard,Snow Leopard,Leopard

What is the chemical symbol for the element with atomic number 1?,H,He,O,C,H
Which planet is known as the "Red Planet"?,Venus,Jupiter,Mars,Saturn,Mars
What is the process by which plants make their own food using sunlight?,Respiration,Photosynthesis,Transpiration,Diffusion,Photosynthesis
Which particle is negatively charged and orbits the nucleus of an atom?,Proton,Neutron,Electron,Photon,Electron
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum,Mitochondria
What is the speed of light in a vacuum?,299,792 kilometers per second,150,000 kilometers per second,450,000 kilometers per second,299,792 kilometers per second
Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,Nitrogen
What is the process by which water vapor turns into liquid water?,Evaporation,Condensation,Sublimation,Melting,Condensation
What is the largest organ in the human body?,Heart,Liver,Skin,Kidney,Skin
What is the chemical symbol for the element gold?,Ag,Fe,Au,Cu,Au

What is the fear of long words called?,Hippopotomonstrosesquippedaliophobia,Sesquipedalophobia,Antidisestablishmentarianism,Pneumonoultramicroscopicsilicovolcanoconiosis,Hippopotomonstrosesquippedaliophobia
Which mammal is capable of flying but is not a bird?,Flying Squirrel,Flying Fish,Flying Fox,Flying Lemur,Flying Squirrel
What is the fear of peanut butter sticking to the roof of the mouth called?,Arachibutyrophobia,Acrophobia,Hydrophobia,Cynophobia,Arachibutyrophobia
Which country has a square-shaped flag?,Switzerland,Nepal,Bhutan,Liechtenstein,Switzerland
What is the only planet in our solar system that rotates clockwise?,Mercury,Venus,Mars,Uranus,Uranus
Which animal's group is called a murder?,Crows,Butterflies,Lions,Whales,Crows
What is the only letter that doesn't appear in the name of any U.S. state?,X,W,Q,Z,Q
Which element has the chemical symbol "K"?,Krypton,Kelvin,Potassium,Kryptonite,Potassium
What is the world's rarest blood type?,AB negative,O positive,B positive,O negative,AB negative
Which planet is nicknamed the "Ice Giant"?,Uranus,Neptune,Saturn,Jupiter,Neptune
















