Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

Which mammal is the largest on Earth?,African Elephant,Giraffe,Blue Whale,Gorilla,Blue Whale
What is the largest big cat species?,Lion,Tiger,Leopard,Jaguar,Tiger
Which bird is known for its ability to mimic human speech?,Penguin,Parrot,Crow,Ostrich,Parrot
Which animal is known as the "King of the Jungle"?,Giraffe,Lion,Elephant,Rhino,Lion
What is the only marsupial native to North America?,Kangaroo,Wallaby,Koala,Opossum,Opossum
Which species of turtle is known for its long neck?,Leatherback Turtle,Snapping Turtle,Box Turtle,Painted Turtle,Snapping Turtle
Which insect is known for its bioluminescent light at night?,Firefly,Dragonfly,Beetle,Butterfly,Firefly
What is the world's largest species of shark?,Great White Shark,Tiger Shark,Hammerhead Shark,Whale Shark,Whale Shark
Which animal is capable of regenerating lost body parts?,Starfish,Octopus,Lizard,Salmon,Starfish
Which big cat is known for its distinctive black coat with rosette patterns?,Cheetah,Jaguar,Leopard,Snow Leopard,Leopard
