Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

Which river is the longest in the world?,Amazon River,Mississippi River,Nile River,Yangtze River,Nile River
In which mountain range is Mount Everest located?,Andes Mountains,Rocky Mountains,Alps,Himalayas,Himalayas
Which African country is known as the "Rainbow Nation"?,Kenya,Nigeria,South Africa,Egypt,South Africa
What is the capital city of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Southern Ocean,Arctic Ocean,Pacific Ocean
In which European city would you find the Eiffel Tower?,Berlin,London,Paris,Rome,Paris
What is the largest desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Great Victoria Desert,Sahara Desert
Which country is known as the "Land of the Rising Sun"?,China,Japan,South Korea,Vietnam,Japan
What is the capital city of Canada?,Toronto,Montreal,Vancouver,Ottawa,Ottawa
Which river runs through the Grand Canyon?,Colorado River,Missouri River,Mississippi River,Yukon River,Colorado River
