Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer

What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Lime,Avocado
Which country is famous for its pasta dishes such as spaghetti and lasagna?,France,Italy,Spain,Germany,Italy
What is the primary ingredient in traditional Japanese miso soup?,Tofu,Seaweed,Rice,Noodles,Tofu
Which fruit is known as the "king of fruits" and has a strong odor?,Banana,Durian,Mango,Apple,Durian
What is the main component of hummus?,Chickpeas,Lentils,Black beans,Kidney beans,Chickpeas
Which alcoholic beverage is made from fermented grapes?,Whiskey,Vodka,Beer,Wine,Wine
What is the national dish of Mexico that consists of meat, beans, and tortillas?,Enchiladas,Tacos,Burritos,Mole, Tacos
Which type of tea is fermented and often has a strong, earthy flavor?,Green tea,Black tea,Oolong tea,White tea,Black tea
What is the popular Italian dessert that consists of coffee-soaked ladyfingers and layered with mascarpone cheese?,Cannoli,Gelato,Tiramisu,Panna Cotta,Tiramisu
Which spice, often used in pumpkin pie, is a mixture of cinnamon, ginger, nutmeg, and cloves?,Allspice,Cayenne pepper,Cumin,Paprika,Allspice
